path,top_level,kind,line_count,bytes,summary
docs/archive/repo-completeness-checklist.md,docs,markdown,238,7450,Archived completeness snapshot kept for workflow and lockfile policy context
docs/audit/2026-03-15-repo-state.md,docs,markdown,151,5989,Repository audit note for 2026 03 15 repo state
docs/audit/2026-03-17-docs-and-uv-refresh.md,docs,markdown,79,3977,Repository audit note for 2026 03 17 docs and uv refresh
docs/audit/2026-03-17-full-build.md,docs,markdown,45,6715,Repository audit note for 2026 03 17 full build
docs/audit/2026-03-17-gh-actions-watch-loop.md,docs,markdown,78,3797,Repository audit note for 2026 03 17 gh actions watch loop
docs/audit/2026-03-17-hushwheel-fixture.md,docs,markdown,80,5090,Repository audit note for 2026 03 17 hushwheel fixture
docs/audit/2026-03-17-hushwheel-rag-playbook.md,docs,markdown,83,4797,Repository audit note for 2026 03 17 hushwheel rag playbook
docs/audit/2026-03-17-notebook-scaffolding.md,docs,markdown,70,3641,Repository audit note for 2026 03 17 notebook scaffolding
docs/audit/2026-03-17-publication-article.md,docs,markdown,54,2321,Repository audit note for 2026 03 17 publication article
docs/audit/2026-03-17-repo-completeness-checklist.md,docs,markdown,59,3114,Repository audit note for 2026 03 17 repo completeness checklist
docs/audit/2026-03-18-actions-caching.md,docs,markdown,87,4189,Repository audit note for 2026 03 18 actions caching
docs/audit/2026-03-18-azure-inference-endpoint-probe.md,docs,markdown,63,2648,Repository audit note for 2026 03 18 azure inference endpoint probe
docs/audit/2026-03-18-azure-runtime-surfaces.md,docs,markdown,91,5307,Repository audit note for 2026 03 18 azure runtime surfaces
docs/audit/2026-03-18-dspy-training-path.md,docs,markdown,81,4605,Repository audit note for 2026 03 18 dspy training path
docs/audit/2026-03-18-hushwheel-program-harness.md,docs,markdown,76,3907,Repository audit note for 2026 03 18 hushwheel program harness
docs/audit/2026-03-18-notebook-execution.md,docs,markdown,66,2577,Repository audit note for 2026 03 18 notebook execution
docs/audit/2026-03-18-notebook-runner-harness.md,docs,markdown,91,4121,Repository audit note for 2026 03 18 notebook runner harness
docs/audit/2026-03-18-repository-benchmark-broadening.md,docs,markdown,74,3728,Repository audit note for 2026 03 18 repository benchmark broadening
docs/audit/2026-03-18-retest-with-env-refresh.md,docs,markdown,105,5102,Repository audit note for 2026 03 18 retest with env refresh
docs/audit/2026-03-18-retrieval-evaluation-suite.md,docs,markdown,80,4031,Repository audit note for 2026 03 18 retrieval evaluation suite
docs/audit/2026-03-18-retrieval-ranking-refresh.md,docs,markdown,109,6479,Repository audit note for 2026 03 18 retrieval ranking refresh
docs/audit/2026-03-18-rust-and-benchmark-hygiene.md,docs,markdown,53,2049,Repository audit note for 2026 03 18 rust and benchmark hygiene
docs/audit/2026-03-18-todo-backlog-sync.md,docs,markdown,83,4104,Repository audit note for 2026 03 18 todo backlog sync
docs/audit/2026-03-18-z-notebook-runner-harness.md,docs,markdown,104,4153,Repository audit note for 2026 03 18 z notebook runner harness
docs/audit/2026-03-18-zz-file-summary-inventory.md,docs,markdown,69,2596,Repository audit note for 2026 03 18 zz file summary inventory
docs/audit/2026-03-18-zz-research-narrative.md,docs,markdown,79,3312,Repository audit note for 2026 03 18 zz research narrative
docs/audit/2026-03-18-zzz-session-consolidation-on-origin-master.md,docs,markdown,109,5061,Repository audit note for 2026 03 18 zzz session consolidation on origin master
docs/audit/2026-03-18-zzzz-rust-sqlite-lookup.md,docs,markdown,105,5404,Repository audit note for 2026 03 18 zzzz rust sqlite lookup
docs/audit/2026-03-18-zzzz-session-consolidation-master-ci-repair.md,docs,markdown,73,3270,Repository audit note for 2026 03 18 zzzz session consolidation master ci repair
docs/audit/2026-03-18-zzzzz-hushwheel-quality-instrumentation.md,docs,markdown,165,8775,Repository audit note for 2026 03 18 zzzzz hushwheel quality instrumentation
docs/audit/2026-03-18-zzzzzz-dspy-pipeline-and-live-azure-proof.md,docs,markdown,116,5992,Repository audit note for 2026 03 18 zzzzzz dspy pipeline and live azure proof
docs/audit/2026-03-18-zzzzzz-hushwheel-retrieval-record-wording.md,docs,markdown,77,3042,Repository audit note for 2026 03 18 zzzzzz hushwheel retrieval record wording
docs/audit/2026-03-18-zzzzzzz-hushwheel-pdf-side-effect-fix.md,docs,markdown,83,4044,Repository audit note for 2026 03 18 zzzzzzz hushwheel pdf side effect fix
docs/audit/2026-03-18-zzzzzzz-hushwheel-quality-salvage.md,docs,markdown,84,4554,Repository audit note for 2026 03 18 zzzzzzz hushwheel quality salvage
docs/audit/2026-03-18-zzzzzzz-land-unlanded-surfaces.md,docs,markdown,72,2685,Repository audit note for 2026 03 18 zzzzzzz land unlanded surfaces
docs/audit/2026-03-18-zzzzzzz-rebased-master-log-and-azure-typecheck-fix.md,docs,markdown,83,3472,Repository audit note for 2026 03 18 zzzzzzz rebased master log and azure typecheck fix
docs/audit/2026-03-18-zzzzzzz-worktree-consolidation.md,docs,markdown,125,5914,Repository audit note for 2026 03 18 zzzzzzz worktree consolidation
docs/audit/2026-03-18-zzzzzzzzzzzz-retrieval-regression-gate.md,docs,markdown,66,2898,Repository audit note for 2026 03 18 zzzzzzzzzzzz retrieval regression gate
docs/audit/2026-03-18-zzzzzzzzzzzzz-land-remaining-unlanded-work.md,docs,markdown,78,2908,Repository audit note for 2026 03 18 zzzzzzzzzzzzz land remaining unlanded work
docs/audit/2026-03-18-zzzzzzzzzzzzzz-node24-actions-refresh.md,docs,markdown,91,2989,Repository audit note for 2026 03 18 zzzzzzzzzzzzzz node24 actions refresh
docs/audit/2026-03-18-zzzzzzzzzzzzzz-rebase-hushwheel-quality-over-master.md,docs,markdown,47,1889,Repository audit note for 2026 03 18 zzzzzzzzzzzzzz rebase hushwheel quality over master
docs/audit/2026-03-18-zzzzzzzzzzzzzzzz-dspy-backlog-reconciliation.md,docs,markdown,75,2956,Repository audit note for 2026 03 18 zzzzzzzzzzzzzzzz dspy backlog reconciliation
docs/audit/2026-03-18-zzzzzzzzzzzzzzzz-file-summary-test-churn-fix.md,docs,markdown,85,2929,Repository audit note for 2026 03 18 zzzzzzzzzzzzzzzz file summary test churn fix
docs/audit/2026-03-18-zzzzzzzzzzzzzzzz-publication-cache-node24-followup.md,docs,markdown,89,2900,Repository audit note for 2026 03 18 zzzzzzzzzzzzzzzz publication cache node24 followup
docs/audit/2026-03-18-zzzzzzzzzzzzzzzz-retrieval-gate-restored-after-rebase.md,docs,markdown,94,3788,Repository audit note for 2026 03 18 zzzzzzzzzzzzzzzz retrieval gate restored after rebase
docs/audit/2026-03-18-zzzzzzzzzzzzzzzzzz-dspy-backlog-reconciliation.md,docs,markdown,62,2457,Repository audit note for 2026 03 18 zzzzzzzzzzzzzzzzzz dspy backlog reconciliation
docs/audit/2026-03-18-zzzzzzzzzzzzzzzzzz-lookup-first-ask-path.md,docs,markdown,94,4604,Repository audit note for 2026 03 18 zzzzzzzzzzzzzzzzzz lookup first ask path
docs/audit/2026-03-18-zzzzzzzzzzzzzzzzzzz-answer-synthesis-refresh.md,docs,markdown,48,2565,Repository audit note for 2026 03 18 zzzzzzzzzzzzzzzzzzz answer synthesis refresh
docs/audit/2026-03-18-zzzzzzzzzzzzzzzzzzzz-retrieval-quality-doc-priority.md,docs,markdown,68,3602,Repository audit note for 2026 03 18 zzzzzzzzzzzzzzzzzzzz retrieval quality doc priority
docs/audit/2026-03-18-zzzzzzzzzzzzzzzzzzzzzzz-merge-hushwheel-quality-into-master.md,docs,markdown,112,4335,Repository audit note for 2026 03 18 zzzzzzzzzzzzzzzzzzzzzzz merge hushwheel quality into master
docs/audit/2026-03-18-zzzzzzzzzzzzzzzzzzzzzzzz-hushwheel-atlas-consolidation.md,docs,markdown,109,4762,Repository audit note for 2026 03 18 zzzzzzzzzzzzzzzzzzzzzzzz hushwheel atlas consolidation
docs/audit/2026-03-19-github-pr-gate-sync.md,docs,markdown,136,6599,Repository audit note for 2026 03 19 github pr gate sync
docs/audit/2026-03-19-node24-actions-opt-in.md,docs,markdown,80,2929,Repository audit note for 2026 03 19 node24 actions opt in
docs/audit/2026-03-19-public-pages-and-secret-scan.md,docs,markdown,113,5804,Repository audit note for 2026 03 19 public pages and secret scan
docs/audit/2026-03-19-simple-end-to-end-verification-guide.md,docs,markdown,103,4236,Repository audit note for 2026 03 19 simple end to end verification guide
docs/audit/2026-04-28-cli-envelope-normalization.md,docs,markdown,95,4028,Repository audit note for 2026 04 28 cli envelope normalization
docs/audit/2026-04-28-doc-tree-restructure-and-planning.md,docs,markdown,105,4309,Repository audit note for 2026 04 28 doc tree restructure and planning
docs/audit/2026-04-28-json-runtime-contract.md,docs,markdown,131,5281,Repository audit note for 2026 04 28 json runtime contract
docs/audit/2026-04-28-live-azure-dspy-integration-gating.md,docs,markdown,79,3562,Repository audit note for 2026 04 28 live azure dspy integration gating
docs/audit/2026-04-28-retrieval-profile-layer.md,docs,markdown,92,4123,Repository audit note for 2026 04 28 retrieval profile layer
docs/audit/2026-04-28-rust-lookup-arbitrary-repo-roots.md,docs,markdown,88,4078,Repository audit note for 2026 04 28 rust lookup arbitrary repo roots
docs/audit/2026-04-29-bounded-mcp-server-surface.md,docs,markdown,154,6688,Repository audit note for 2026 04 29 bounded mcp server surface
docs/audit/2026-04-29-bundle-channel-publish-promote-rollback.md,docs,markdown,125,5633,Repository audit note for 2026 04 29 bundle channel publish promote rollback
docs/audit/2026-04-29-bundle-overlay-and-runtime-trace-contract.md,docs,markdown,96,4332,Repository audit note for 2026 04 29 bundle overlay and runtime trace contract
docs/audit/2026-04-29-dataset-accepted-outcome-ingest.md,docs,markdown,139,6670,Repository audit note for 2026 04 29 dataset accepted outcome ingest
docs/audit/2026-04-29-dataset-bundle-fetch-and-trace-import-hooks.md,docs,markdown,130,6215,Repository audit note for 2026 04 29 dataset bundle fetch and trace import hooks
docs/audit/2026-04-29-dataset-local-repo-rag-cli-backend.md,docs,markdown,122,5290,Repository audit note for 2026 04 29 dataset local repo rag cli backend
docs/audit/2026-04-29-dataset-repo-rag-auto-detection.md,docs,markdown,124,6051,Repository audit note for 2026 04 29 dataset repo rag auto detection
docs/audit/2026-04-29-dataset-trace-queue-handoff.md,docs,markdown,141,6656,Repository audit note for 2026 04 29 dataset trace queue handoff
docs/audit/2026-04-29-dataset-worker-repo-rag-cli-backend.md,docs,markdown,128,6630,Repository audit note for 2026 04 29 dataset worker repo rag cli backend
docs/audit/2026-04-29-global-blob-queue-trainer-migration.md,docs,markdown,91,4807,Repository audit note for 2026 04 29 global blob queue trainer migration
docs/audit/2026-04-29-live-azure-gpt54-validation.md,docs,markdown,145,8279,Repository audit note for 2026 04 29 live azure gpt54 validation
docs/audit/2026-04-29-retrieval-rerank-and-relative-root-normalization.md,docs,markdown,71,3070,Repository audit note for 2026 04 29 retrieval rerank and relative root normalization
docs/audit/2026-04-29-runtime-image-and-dataset-build-deploy-wiring.md,docs,markdown,140,5729,Repository audit note for 2026 04 29 runtime image and dataset build deploy wiring
docs/audit/2026-04-29-trainer-bundle-benchmark-gates.md,docs,markdown,111,4942,Repository audit note for 2026 04 29 trainer bundle benchmark gates
docs/audit/2026-04-29-trainer-cycle-background-pass.md,docs,markdown,105,4637,Repository audit note for 2026 04 29 trainer cycle background pass
docs/audit/2026-04-29-trainer-k8s-deployment-surface.md,docs,markdown,131,6040,Repository audit note for 2026 04 29 trainer k8s deployment surface
docs/audit/2026-04-29-trainer-recompile-from-candidates.md,docs,markdown,135,6238,Repository audit note for 2026 04 29 trainer recompile from candidates
docs/audit/2026-04-29-trainer-service-loop.md,docs,markdown,133,6185,Repository audit note for 2026 04 29 trainer service loop
docs/audit/2026-04-30-aks-run-25179828865-stale-image-inspection.md,docs,markdown,117,6206,Repository audit note for 2026 04 30 aks run 25179828865 stale image inspection
docs/audit/2026-04-30-aks-run-25186264345-image-fix-gap-inspection.md,docs,markdown,165,8407,Repository audit note for 2026 04 30 aks run 25186264345 image fix gap inspection
docs/audit/2026-04-30-codex-proxy-mediation-layer.md,docs,markdown,95,5279,Repository audit note for 2026 04 30 codex proxy mediation layer
docs/audit/2026-04-30-codex-proxy-trace-handoff.md,docs,markdown,122,6543,Repository audit note for 2026 04 30 codex proxy trace handoff
docs/audit/2026-05-01-aks-run-25191504814-project-root-resolution-inspection.md,docs,markdown,133,6002,Repository audit note for 2026 05 01 aks run 25191504814 project root resolution inspection
docs/audit/2026-05-01-aks-run-25209573387-proxy-runtime-env-inspection.md,docs,markdown,129,5738,Repository audit note for 2026 05 01 aks run 25209573387 proxy runtime env inspection
docs/audit/2026-05-01-aks-run-25212955759-trace-handoff-secret-gap.md,docs,markdown,121,4594,Repository audit note for 2026 05 01 aks run 25212955759 trace handoff secret gap
docs/audit/2026-05-01-aks-run-25226558751-rag-heuristic-trusted-handoff.md,docs,markdown,130,5092,Repository audit note for 2026 05 01 aks run 25226558751 rag heuristic trusted handoff
docs/audit/2026-05-01-dataset-azure-responses-api-version-default-fix.md,docs,markdown,133,6700,Repository audit note for 2026 05 01 dataset azure responses api version default fix
docs/audit/2026-05-01-dataset-azure-runtime-env-propagation-fix.md,docs,markdown,81,4200,Repository audit note for 2026 05 01 dataset azure runtime env propagation fix
docs/audit/2026-05-01-dataset-trusted-trace-handoff-postprocess-fix.md,docs,markdown,81,3880,Repository audit note for 2026 05 01 dataset trusted trace handoff postprocess fix
docs/audit/2026-05-01-dspy-bundle-version-pinning-contract.md,docs,markdown,118,5763,Repository audit note for 2026 05 01 dspy bundle version pinning contract
docs/audit/2026-05-01-durable-trainer-progress-remote-recovery.md,docs,markdown,115,5141,Repository audit note for 2026 05 01 durable trainer progress remote recovery
docs/audit/2026-05-01-live-trainer-no-timestamp-bundle-publish.md,docs,markdown,172,7368,Repository audit note for 2026 05 01 live trainer no timestamp bundle publish
docs/audit/2026-05-01-live-trainer-remote-bundle-publish.md,docs,markdown,148,7444,Repository audit note for 2026 05 01 live trainer remote bundle publish
docs/audit/2026-05-01-live-trainer-service-azure-fallback.md,docs,markdown,167,6390,Repository audit note for 2026 05 01 live trainer service azure fallback
docs/audit/2026-05-01-versioned-trainer-lineage-bundles.md,docs,markdown,123,5821,Repository audit note for 2026 05 01 versioned trainer lineage bundles
docs/audit/2026-05-02-hybrid-vector-retrieval-default.md,docs,markdown,385,18302,Repository audit note for 2026 05 02 hybrid vector retrieval default
docs/audit/2026-05-02-live-trainer-still-not-publishing-bundles.md,docs,markdown,1281,60556,Repository audit note for 2026 05 02 live trainer still not publishing bundles
docs/audit/2026-05-02-trainer-context-group-champion-index-stage1.md,docs,markdown,330,18201,Repository audit note for 2026 05 02 trainer context group champion index stage1
docs/audit/2026-05-02-zz-codex-exec-resume-session-state-stage0.md,docs,markdown,3866,170338,Repository audit note for 2026 05 02 zz codex exec resume session state stage0
docs/audit/2026-05-08-zz-per-turn-dspy-mediation-contract-stage0.md,docs,markdown,113,5821,Repository audit note for 2026 05 08 zz per turn dspy mediation contract stage0
docs/audit/2026-05-09-aks-run-25598675829-per-turn-mediation-gap.md,docs,markdown,215,7119,Repository audit note for 2026 05 09 aks run 25598675829 per turn mediation gap
docs/audit/2026-05-09-family-first-mipro-contract-stage1.md,docs,markdown,120,4684,Repository audit note for 2026 05 09 family first mipro contract stage1
docs/audit/2026-05-09-family-first-mipro-contract-stage10.md,docs,markdown,122,5329,Repository audit note for 2026 05 09 family first mipro contract stage10
docs/audit/2026-05-09-family-first-mipro-contract-stage11.md,docs,markdown,116,4638,Repository audit note for 2026 05 09 family first mipro contract stage11
docs/audit/2026-05-09-family-first-mipro-contract-stage12.md,docs,markdown,122,4941,Repository audit note for 2026 05 09 family first mipro contract stage12
docs/audit/2026-05-09-family-first-mipro-contract-stage13.md,docs,markdown,128,4992,Repository audit note for 2026 05 09 family first mipro contract stage13
docs/audit/2026-05-09-family-first-mipro-contract-stage14.md,docs,markdown,109,3944,Repository audit note for 2026 05 09 family first mipro contract stage14
docs/audit/2026-05-09-family-first-mipro-contract-stage15.md,docs,markdown,113,4728,Repository audit note for 2026 05 09 family first mipro contract stage15
docs/audit/2026-05-09-family-first-mipro-contract-stage16.md,docs,markdown,103,3748,Repository audit note for 2026 05 09 family first mipro contract stage16
docs/audit/2026-05-09-family-first-mipro-contract-stage17.md,docs,markdown,101,3519,Repository audit note for 2026 05 09 family first mipro contract stage17
docs/audit/2026-05-09-family-first-mipro-contract-stage18.md,docs,markdown,90,3164,Repository audit note for 2026 05 09 family first mipro contract stage18
docs/audit/2026-05-09-family-first-mipro-contract-stage19.md,docs,markdown,102,3984,Repository audit note for 2026 05 09 family first mipro contract stage19
docs/audit/2026-05-09-family-first-mipro-contract-stage2.md,docs,markdown,123,4936,Repository audit note for 2026 05 09 family first mipro contract stage2
docs/audit/2026-05-09-family-first-mipro-contract-stage20.md,docs,markdown,88,3076,Repository audit note for 2026 05 09 family first mipro contract stage20
docs/audit/2026-05-09-family-first-mipro-contract-stage21.md,docs,markdown,122,5742,Repository audit note for 2026 05 09 family first mipro contract stage21
docs/audit/2026-05-09-family-first-mipro-contract-stage3.md,docs,markdown,96,4147,Repository audit note for 2026 05 09 family first mipro contract stage3
docs/audit/2026-05-09-family-first-mipro-contract-stage4.md,docs,markdown,120,5209,Repository audit note for 2026 05 09 family first mipro contract stage4
docs/audit/2026-05-09-family-first-mipro-contract-stage5.md,docs,markdown,122,5172,Repository audit note for 2026 05 09 family first mipro contract stage5
docs/audit/2026-05-09-family-first-mipro-contract-stage6.md,docs,markdown,119,5120,Repository audit note for 2026 05 09 family first mipro contract stage6
docs/audit/2026-05-09-family-first-mipro-contract-stage7.md,docs,markdown,116,4680,Repository audit note for 2026 05 09 family first mipro contract stage7
docs/audit/2026-05-09-family-first-mipro-contract-stage8.md,docs,markdown,110,4477,Repository audit note for 2026 05 09 family first mipro contract stage8
docs/audit/2026-05-09-family-first-mipro-contract-stage9.md,docs,markdown,106,4003,Repository audit note for 2026 05 09 family first mipro contract stage9
docs/audit/2026-05-10-aks-run-25625638264-family-first-runtime-gap.md,docs,markdown,246,8472,Repository audit note for 2026 05 10 aks run 25625638264 family first runtime gap
docs/audit/2026-05-10-aks-run-25629990035-family-first-runtime-still-heuristic.md,docs,markdown,211,6843,Repository audit note for 2026 05 10 aks run 25629990035 family first runtime still heuristic
docs/audit/2026-05-10-aks-run-25632110510-handoff-fixed-runtime-still-heuristic.md,docs,markdown,231,7832,Repository audit note for 2026 05 10 aks run 25632110510 handoff fixed runtime still heuristic
docs/audit/2026-05-10-aks-run-25634202380-reset-lane-batch-handoff-runtime-still-heuristic.md,docs,markdown,197,6096,Repository audit note for 2026 05 10 aks run 25634202380 reset lane batch handoff runtime still heuristic
docs/audit/2026-05-10-family-first-runtime-fixes-after-run-25625638264.md,docs,markdown,261,12143,Repository audit note for 2026 05 10 family first runtime fixes after run 25625638264
docs/audit/2026-05-10-family-first-runtime-fixes-after-run-25629990035.md,docs,markdown,98,4170,Repository audit note for 2026 05 10 family first runtime fixes after run 25629990035
docs/audit/2026-05-10-family-first-runtime-fixes-after-run-25632110510.md,docs,markdown,112,5332,Repository audit note for 2026 05 10 family first runtime fixes after run 25632110510
docs/audit/2026-05-10-family-state-populates-but-publish-gate-and-dirty-fathers-still-block-runtime.md,docs,markdown,183,7106,Repository audit note for 2026 05 10 family state populates but publish gate and dirty fathers still block runtime
docs/audit/2026-05-10-family-state-root-alias-and-latest-bundle-staging-fallback.md,docs,markdown,81,3390,Repository audit note for 2026 05 10 family state root alias and latest bundle staging fallback
docs/audit/2026-05-10-hidden-token-spend-and-incremental-trainer-fixes.md,docs,markdown,154,6740,Repository audit note for 2026 05 10 hidden token spend and incremental trainer fixes
docs/audit/2026-05-10-live-trainer-service-replays-processed-ledger-while-queue-empty.md,docs,markdown,160,5891,Repository audit note for 2026 05 10 live trainer service replays processed ledger while queue empty
docs/audit/2026-05-10-stale-submodule-runtime-image-root-cause-and-source-preference-fix.md,docs,markdown,114,5021,Repository audit note for 2026 05 10 stale submodule runtime image root cause and source preference fix
docs/audit/2026-05-11-family-runtime-artifact-fallback-and-staging-path-fix.md,docs,markdown,139,5601,Repository audit note for 2026 05 11 family runtime artifact fallback and staging path fix
docs/audit/2026-05-11-family-runtime-bridge-falls-back-to-family-state-locally.md,docs,markdown,110,4180,Repository audit note for 2026 05 11 family runtime bridge falls back to family state locally
docs/audit/2026-05-11-fresh-run-family-match-without-family-artifact-runtime.md,docs,markdown,211,6472,Repository audit note for 2026 05 11 fresh run family match without family artifact runtime
docs/audit/2026-05-11-idle-trainer-cycles-no-longer-autorepublish-bundles.md,docs,markdown,108,3162,Repository audit note for 2026 05 11 idle trainer cycles no longer autorepublish bundles
docs/audit/2026-05-11-original-prompt-routing-and-batch-handoff-fixes.md,docs,markdown,91,3829,Repository audit note for 2026 05 11 original prompt routing and batch handoff fixes
docs/audit/2026-05-11-trainer-queue-only-no-processed-replay.md,docs,markdown,166,6373,Repository audit note for 2026 05 11 trainer queue only no processed replay
docs/audit/2026-05-11-trainer-service-preflights-queue-before-running-cycles.md,docs,markdown,121,4211,Repository audit note for 2026 05 11 trainer service preflights queue before running cycles
docs/audit/2026-05-11-trusted-handoff-syntax-error-blocked-execution-artifact-upload.md,docs,markdown,86,4031,Repository audit note for 2026 05 11 trusted handoff syntax error blocked execution artifact upload
docs/audit/2026-05-11-zz-latest-run-handoff-restored-but-family-runtime-still-heuristic.md,docs,markdown,186,5763,Repository audit note for 2026 05 11 zz latest run handoff restored but family runtime still heuristic
docs/audit/2026-05-13-azure-defaults-and-codex-config-model-alignment.md,docs,markdown,114,4099,Repository audit note for 2026 05 13 azure defaults and codex config model alignment
docs/audit/2026-05-13-latest-run-partial-family-runtime-use-and-six-same-prompt-traces.md,docs,markdown,180,6882,Repository audit note for 2026 05 13 latest run partial family runtime use and six same prompt traces
docs/audit/2026-05-13-latest-run-used-global-dspy-bundle-but-dropped-supplemental-user-line.md,docs,markdown,173,6044,Repository audit note for 2026 05 13 latest run used global dspy bundle but dropped supplemental user line
docs/audit/2026-05-13-live-trainer-startup-published-from-processed-with-empty-queue.md,docs,markdown,104,4129,Repository audit note for 2026 05 13 live trainer startup published from processed with empty queue
docs/audit/2026-05-13-processed-replay-no-longer-duplicates-family-records.md,docs,markdown,107,4641,Repository audit note for 2026 05 13 processed replay no longer duplicates family records
docs/audit/2026-05-13-scoped-dspy-helper-trainer-model-defaults.md,docs,markdown,55,2564,Repository audit note for 2026 05 13 scoped dspy helper trainer model defaults
docs/audit/2026-05-13-trainer-local-cache-thin-index-one-version-per-queue-cycle.md,docs,markdown,77,3516,Repository audit note for 2026 05 13 trainer local cache thin index one version per queue cycle
docs/audit/2026-05-14-latest-run-partial-dspy-runtime-and-single-family-trainer-rebuild.md,docs,markdown,140,6243,Repository audit note for 2026 05 14 latest run partial dspy runtime and single family trainer rebuild
docs/audit/2026-05-14-runtime-dspy-single-thread-and-same-prompt-trace-dedupe.md,docs,markdown,72,2985,Repository audit note for 2026 05 14 runtime dspy single thread and same prompt trace dedupe
docs/audit/2026-05-15-family-profile-routing-and-handoff-hardening.md,docs,markdown,78,3607,Repository audit note for 2026 05 15 family profile routing and handoff hardening
docs/audit/2026-05-15-family-profile-stability-thresholds.md,docs,markdown,40,1814,Repository audit note for 2026 05 15 family profile stability thresholds
docs/audit/2026-05-15-feedback-trace-phase-1.md,docs,markdown,104,6689,Repository audit note for 2026 05 15 feedback trace phase 1
docs/audit/2026-05-15-profile-first-routing-and-real-thin-index.md,docs,markdown,49,2300,Repository audit note for 2026 05 15 profile first routing and real thin index
docs/audit/2026-05-15-remote-bundle-authority-and-lane-reset-hardening.md,docs,markdown,72,3503,Repository audit note for 2026 05 15 remote bundle authority and lane reset hardening
docs/audit/2026-05-15-trace-wrapper-mirroring-and-batch-summary-fix.md,docs,markdown,55,3117,Repository audit note for 2026 05 15 trace wrapper mirroring and batch summary fix
docs/audit/2026-05-15-trainer-publish-backlog-recovery.md,docs,markdown,39,1926,Repository audit note for 2026 05 15 trainer publish backlog recovery
